sentence,type
"


His Dark Materials
Book One


NORTHERN LIGHTS




PHILIP PULLMAN



A KNOPF PAPEPERBACK
ALFRED A. KNOPF	*	NEW YORK




Into this wild abyss,

The womb of nature and perhaps her grave,

Of neither sea, nor shore, nor air, nor fire,

But all these in their pregnant causes mixed

Confusedly, and which thus must ever fight,

Unless the almighty maker them ordain

His dark materials to create more worlds,

Into this wild abyss the wary fiend

Stood on the brink of hell and looked a while,

Pondering his voyage...


-John Milton, Paradise Lost, Book II







The Golden Compass forms the first part of a story in three volumes.",未知
"The first volume is set in a universe like ours, but different in many ways.",未知
The second volume is set partly in the universe we know.,未知
The third volume will move between the universes.,未知
"PART   ONE

OXFORD









0NE 

THE DECANTER OF TOKAY




Lyra and her daemon moved through the darkening hall, taking care to keep to one side, out of sight of the kitchen.",未知
"The three great tables that ran the length of the hall were laid already, the silver and the glass catching what little light there was, and the long benches were pulled out ready for the guests.",未知
Portraits of former Masters hung high up in the gloom along the walls.,未知
"Lyra reached the dais and looked back at the open kitchen door, and, seeing no one, stepped up beside the high table.",未知
"The places here were laid with gold, not silver, and the fourteen seats were not oak benches but mahogany chairs with velvet cushions.",未知
Lyra stopped beside the Master's chair and flicked the biggest glass gently with a fingernail.,未知
The sound rang clearly through the hall.,未知
"""You're not taking this seriously,"" whispered her daemon.",未知
"""Behave yourself.""",未知
"Her daemon's name was Pantalaimon, and he was currently in the form of a moth, a dark brown one so as not to show up in the darkness of the hall.",未知
"""They're making too much noise to hear from the kitchen,"" Lyra whispered back.",未知
"""And the Steward doesn't come in till the first bell.",未知
"Stop fussing.""",未知
"But she put her palm over the ringing crystal anyway, and Pantalaimon fluttered ahead and through the slightly open door of the Retiring Room at the other end of the dais.",未知
After a moment he appeared again.,未知
"""There's no one there,"" he whispered.",未知
"""But we must be quick.""",未知
"Crouching behind the high table, Lyra darted along and through the door into the Retiring Room, where she stood up and looked around.",未知
"The only light in here came from the fireplace, where a bright blaze of logs settled slightly as she looked, sending a fountain of sparks up into the chimney.",未知
"She had lived most of her life in the College, but had never seen the Retiring Room before: only Scholars and their guests were allowed in here, and never females.",未知
Even the maidservants didn't clean in here.,未知
That was the Butler's job alone.,未知
Pantalaimon settled on her shoulder.,未知
"""Happy now?",未知
"Can we go?""",未知
he whispered.,未知
"""Don't be silly!",未知
"I want to look around!""",未知
"It was a large room, with an oval table of polished rosewood on which stood various decanters and glasses, and a silver smoking stand with a rack of pipes.",未知
On a sideboard nearby there was a little chafing dish and a basket of poppy heads.,未知
"""They do themselves well, don't they, Pan?""",未知
she said under her breath.,未知
She sat in one of the green leather armchairs.,未知
"It was so deep she found herself nearly lying down, but she sat up again and tucked her legs under her to look at the portraits on the walls.",未知
"More old Scholars, probably; robed, bearded, and gloomy, they stared out of their frames in solemn disapproval.",未知
"""What d'you think they talk about?""",未知
"Lyra said, or began to say, because before she'd finished the question she heard voices outside the door.",未知
"""Behind the chair-quick!""",未知
"whispered Pantalaimon, and in a flash Lyra was out of the armchair and crouching behind it.",未知
"It wasn't the best one for hiding behind: she'd chosen one in the very center of the room, and unless she kept very quiet...",未知
"The door opened, and the light changed in the room; one of the incomers was carrying a lamp, which he put down on the sideboard.",未知
"Lyra could see his legs, in their dark green trousers and shiny black shoes.",未知
It was a servant.,未知
"Then a deep voice said, ""Has Lord Asriel arrived yet?""",未知
It was the Master.,未知
"As Lyra held her breath, she saw the servant's daemon (a dog, like all servants' daemons) trot in and sit quietly at his feet, and then the Master's feet became visible too, in the shabby black shoes he always wore.",未知
"""No, Master,"" said the Butler.",未知
"""No word from the aerodock, either.""",未知
"""I expect he'll be hungry when he arrives.",未知
"Show him straight into Hall, will you?""",未知
"""Very good, Master.""",未知
"""And you've decanted some of the special Tokay for him?""",未知
"""Yes, Master.",未知
"The 1898, as you ordered.",未知
"His Lordship is very partial to that, I remember.""",未知
"""Good.",未知
"Now leave me, please.""",未知
"""Do you need the lamp, Master?""",未知
"""Yes, leave that too.",未知
"Look in during dinner to trim it, will you?""",未知
"The Butler bowed slightly and turned to leave, his daemon trotting obediently after him.",未知
"From her not-much-of-a-hiding place Lyra watched as the Master went to a large oak wardrobe in the corner of the room, took his gown from a hanger, and pulled it laboriously on.",未知
"The Master had been a powerful man, but he was well over seventy now, and his movements were stiff and slow.",未知
"The Master's daemon had the form of a raven, and as soon as his robe was on, she jumped down from the wardrobe and settled in her accustomed place on his right shoulder.",未知
"Lyra could feel Pantalaimon bristling with anxiety, though he made no sound.",未知
"For herself, she was pleasantly excited.",未知
"The visitor mentioned by the Master, Lord Asriel, was her uncle, a man whom she admired and feared greatly.",未知
"He was said to be involved in high politics, in secret exploration, in distant warfare, and she never knew when he was going to appear.",未知
"He was fierce: if he caught her in here she'd be severely punished, but she could put up with that.",未知
"What she saw next, however, changed things completely.",未知
The Master took from his pocket a folded paper and laid it on the table beside the wine.,未知
"He took the stopper out of the mouth of a decanter containing a rich golden wine, unfolded the paper, and poured a thin stream of white powder into the decanter before crumpling the paper and throwing it into the fire.",未知
"Then he took a pencil from his pocket, stirred the wine until the powder had dissolved, and replaced the stopper.",未知
His daemon gave a soft brief squawk.,未知
"The Master replied in an undertone, and looked around with his hooded, clouded eyes before leaving through the door he'd come in by.",未知
"Lyra whispered, ""Did you see that, Pan?""",未知
"""Of course I did!",未知
"Now hurry out, before the Steward comes!""",未知
"But as he spoke, there came the sound of a bell ringing once from the far end of the hall.",未知
"""That's the Steward's bell!""",未知
said Lyra.,未知
"""I thought we had more time than that.""",未知
"Pantalaimon fluttered swiftly to the hall door, and swiftly back.",未知
"""The Steward's there already,"" he said.",未知
"""And you can't get out of the other door...""
The other door, the one the Master had entered and left by, opened onto the busy corridor between the library and the Scholars' common room.",未知
"At this time of day it was thronged with men pulling on their gowns for dinner, or hurrying to leave papers or briefcases in the common room before moving nto the hall.",未知
"Lyra had planned to leave the way she'd come, banking on another few minutes before the Steward's bell rang.",未知
"And if she hadn't seen the Master tipping that powder into the wine, she might have risked the Steward's anger, or hoped to avoid being noticed in the busy corridor.",未知
"But she was confused, and that made her hesitate.",未知
Then she heard heavy footsteps on the dais.,未知
The Steward was coming to make sure the Retiring Room was ready for the Scholars' poppy and wine after dinner.,未知
"Lyra darted to the oak wardrobe, opened it, and hid inside, pulling the door shut just as the Steward entered.",未知
"She had no fear for Pantalaimon: the room was somber colored, and he could always creep under a chair.",未知
"She heard the Steward's heavy wheezing, and through the crack where the door hadn't quite shut she saw him adjust the pipes in the rack by the smoking stand and cast a glance over the decanters and glasses.",未知
Then he smoothed the hair over his ears with both palms and said something to his daemon.,未知
"He was a servant, so she was a dog; but a superior servant, so a superior dog.",未知
"In fact, she had the form of a red setter.",未知
"The daemon seemed suspicious, and cast around as if she'd sensed an intruder, but didn't make for the wardrobe, to Lyra's intense relief.",未知
"Lyra was afraid of the Steward, who had twice beaten her.",未知
Lyra heard a tiny whisper; obviously Pantalaimon had squeezed in beside her.,未知
"""We're going to have to stay here now.",未知
"Why don't you listen to me?""",未知
She didn't reply until the Steward had left.,未知
"It was his job to supervise the waiting at the high table; she could hear the Scholars coming into the hall, the murmur of voices, the shuffle of feet.",主谓宾
"""It's a good thing I didn't,"" she whispered back.",未知
"""We wouldn't have seen the Master put poison in the wine otherwise.",未知
"Pan, that was the Tokay he asked the Butler about!",未知
"They're going to kill Lord Asriel!""",未知
"""You don't know it's poison.""",未知
"""Oh, of course it is.",未知
"Don't you remember, he made the Butler leave the room before he did it?",未知
"If it was innocent, it wouldn't have mattered the Butler seeing.",未知
And I know there's something going on-something political.,未知
The servants have been talking about it for days.,未知
"Pan, we could prevent a murder!""",未知
"""I've never heard such nonsense,"" he said shortly.",未知
"""How do you think you're going to keep still for four hours in this poky wardrobe?",未知
Let me go and look in the corridor.,未知
"I'll tell you when it's clear.""",未知
"He fluttered from her shoulder, and she saw his little shadow appear in the crack of light.",未知
"""It's no good, Pan, I'm staying,"" she said.",未知
"""There's another robe or something here.",未知
I'll put that on the floor and make myself comfortable.,未知
"I've just got to see what they do.""",未知
She had been crouching.,未知
"She carefully stood up, feeling around for the clothes hangers in order not to make a noise, and found that the wardrobe was bigger than she'd thought.",未知
"There were several academic robes and hoods, some with fur around them, most faced with silk.",there be句型
"""I wonder if these are all the Master's?""",未知
she whispered.,未知
"""When he gets honorary degrees from other places, perhaps they give him fancy robes and he keeps them here for dressing-up....Pan, do you really think it's not poison in that wine?""",未知
"""No,"" he said.",未知
"""I think it is, like you do.",未知
And I think it's none of our business.,未知
And I think it would be the silliest thing you've ever done in a lifetime of silly things to interfere.,未知
"It's nothing to do with us.""",未知
"""Don't be stupid,"" Lyra said.",未知
"""I can't sit in here and watch them give him poison!""",未知
"""Come somewhere else, then.""",未知
